Name,Quantity,Real_Quantity,Wood,Stone,Metal,Requirements,Demand,Text,Tier,Card_type,building_category,only_print,no_print,no_print_reason,Qty_4_players,Qty_3_players,Qty_2_players
,,,,,,,,,,,,,,,,,
Spring,1,1,,,,,,spring: mild (hot if weather is harsh),,season,,,1,using easier Spring,,,
,,,,,,,,spring: Animals reproduce,,,,,,,,,
,,,,,,,,Time to plant seeds and tend to livestock.,,,,,,,,,
Spring,1,1,,,,,,spring: Animals reproduce,,season,,,,,,,
,,,,,,,,Time to plant seeds and tend to livestock.,,,,,,,,,
Summer,1,1,,,,,,summer: Hot (double up on one action),,season,,,1,using easier Spring,,,
,,,,,,,,Work slows down in the heat.,,,,,,,,,
Summer,1,1,,,,,,The weather is warm and life is good.,,season,,,,,,,
Autumn,1,1,,,,,,autumn: mild (cold if weather is harsh),,season,,,1,using easier Spring,,,
,,,,,,,,Prime food production,,,,,,,,,
Autumn,1,1,,,,,,Prime season for food production.,,season,,,,,,,
Winter,1,1,,,,,,winter: Cold (clothing required for workers),,season,,,,,,,
,,,,,,,,Winters are cold and difficult to survive.,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Build,2,4,,,,,,Begin the construction of an available building/location when used. Flip it back-side-up and place it in front of you.,,start,,,,,,,
,,,,,,,,Use only once per turn,,,,,,,,,
Gather,2,4,,,,,,One of,,start,,,,,,,
,,,,,,,,+2 wood (tools +3 wood) when used,,,,,,,,,
,,,,,,,,+1 stone (tools +2 stone) when used,,,,,,,,,
,,,,,,,,+1 metal (tools +2 metal) when used,,,,,,,,,
,,,,,,,,Use any number of times per turn,,,,,,,,,
My Stuff,2,4,,,,,,Store your goods here,,start,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Farm,2,4,,,,,,spring: plant 4 grain (tools 6 grain) on Farm when used,1,,food,,,,4,3,2
,,,,,,,,summer: harvest 2 grain (tools 3 grain) and discard the rest when used,,,production,,,,,,
,,,,,,,,autumn: harvest 4 grain (tools 6 grain) on Farm when used,,,,,,,,,
,,,,,,,,winter: discard all grain on Farm,,,,,,,,,
Vegetable Field,2,4,,,,,,spring: plant 3 vegetables (tools 4 vegetables) on Vegetable Field when used,1,,food,,,,4,3,2
,,,,,,,,summer: harvest 1 vegetable (passive),,,,,,,,,
,,,,,,,,autumn: harvest remaining vegetables (passive),,,,,,,,,
,,,,,,,,winter: discard all vegetables on Farm,,,,,,,,,
Cellar,2,2,1,,,,3 vegetables,stores vegetables as non-perishable food,1,,food,,,,2,1,1
,,,,,,,,,,,storage,,,,,,
Orchard,2,2,,,,,,spring: add 1 fruit to Orchard for each tree (passive),1,,food,,,,2,2,1
,,,,,,,,"spring, summer: plant 2 trees (tools 3 trees) on Orchard when used (limit 8)",,,,,,,,,
,,,,,,,,autumn: harvest up to 6 fruit (tools 8 fruit) on Orchard when used,,,,,,,,,
,,,,,,,,winter: discard all fruit on Orchard (passive),,,,,,,,,
Fishing Nets,2,4,1,,,,,collect up to 4 fish (tools 6 fish) in nets when used,1,,food,,,,4,3,2
,,,,,,,,"winter, autumn: +1 fish in nets (passive)",,,,,,,,,
,,,,,,,,"spring, summer: +2 fish in nets (passive)",,,,,,,,,
,,,,,,,,Maximum 6 fish,,,,,,,,,
,,,,,,,,upgrades to Fisherman's Wharf,,,,,,,,,
Bakery,2,2,1,1,,,1 grain -> +5 bread (tools +7 bread),,1,,food,,,,2,2,1
Sheep Pasture,2,3,1,,,,1 grain,"spring, summer, autumn: (grain) +2 sheep when used if less than 2 on Pasture",1,,production,,,,3,2,1
,,,,,,,,spring: (grain) +1 sheep (passive) if at least 2 on Pasture,,,food,,,,,,
,,,,,,,,winter: +1 wool on Pasture for each sheep (passive),,,,,,,,,
,,,,,,,,"spring, summer: collect 3 wool (tools 6 wool) on Pasture when used",,,,,,,,,
,,,,,,,,remove some number of sheep for +1 meat (tools +2 meat) each when used,,,,,,,,,
,,,,,,,,limit 5 sheep,,,,,,,,,
Pig Pasture,2,3,1,,,,1 grain,"spring, summer, autumn: (grain) +2 pigs when used if less than 2 on Pasture",1,,food,,,,3,2,1
,,,,,,,,spring: (grain) +1 pig (passive) if at least 2 on Pasture,,,,,,,,,
,,,,,,,,remove some number of pigs for +2 meat (tools +3 meat) each when used,,,,,,,,,
,,,,,,,,limit 5 pigs,,,,,,,,,
Cow Pasture,1,2,2,,,,2 grain,(grain) +1 milk per 3 cows (passive),2,,food,,,,2,1,1
,,,,,,,,spring: (grain) +2 cows (passive) if at least 2 on Pasture,,,,,,,,,
,,,,,,,,"spring, summer, autumn: (graingrain) +2 cows on Pasture when used if less than 2 on Pasture",,,,,,,,,
,,,,,,,,optionally remove some cows for +2 meat (tools +3 meat) each when used,,,,,,,,,
,,,,,,,,holds 5 cows,,,,,,,,,
Hunting Cabin,1,2,1,,1,,,"spring, summer, autumn: +4/3/1/0 meat (tools +5/4/2/1 meat) in tier 1/2/3/4 when used",1,,food,,,,2,1,1
,,,,,,,,winter: +3/2/0/0 meat (tools +4/3/1/0 meat) in tier 1/2/3/4 when used,,,,,,,,,
,,,,,,,,(tools +1 additional meat) when used,,,,,,,,,
,,,,,,,,,,,,,,,,,
Forester's Shack,1,2,1,,1,,,+4 wood (tools +6 wood) when used,2,,production,,,,2,2,1
Lumbermill,1,1,2,,2,educated,,+1 wood (passive),3,,production,,,,,,
,,,,,,,,+7 wood (tools +10 wood) when used,,,,,,,,,
Stone Mine,1,2,1,,,,,+3 stone (tools +5 stone) when used,2,,production,,,,2,2,1
Iron Mine,1,2,1,,,,,+3 metal (tools +5 metal) when used,2,,production,,,,2,2,1
Wood Splitter,1,2,1,,1,,1 wood -> +4 kindling (tools +7 kindling),kindling valued at 1 Prosperity,1,,production,,,,2,2,1
,,,,,,,,,,,,,,,,,
Tailor,1,2,1,,,,2 wool -> +4 clothing (tools +6 clothing),,2,,production,,,,2,2,1
Clothing Manufacturer,1,1,2,,1,educated,3 wool -> +8 clothing (tools +11 clothing),,3,,production,,,,,,
Smithy,1,2,1,1,1,,2 metal -> +2 tools (+5 tools instead with tools),,2,,production,,,,2,2,1
Forge,1,1,2,2,2,educated,3 metal,"tools, educated: (metalmetalmetal) +10 tools when used",3,,production,,,,,,
,,,,,,,,,,,,,,,,,
School,1,2,2,,,,,educate 1 population when used,2,,education,,,,2,2,1
,,,,,,,,supports 1 population from each village,,,,,,,,,
,,,,,,,,+2 Prosperity per visitor use,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shanties,2,4,1,,,,1 kindling,2 population are sheltered from mild weather (passive),1,,housing,,,,4,3,2
,,,,,,,,(kindling) 2 population are sheltered from cold (can survive cold weather) when used,,,,,,,,,
Wood Cottages,2,4,2,,,,2 kindling,3 population are sheltered from mild weather (passive),1,,housing,,,,4,3,2
,,,,,,,,(kindlingkindling) 3 population are sheltered from cold (can survive cold weather) when used,,,,,,,,,
Stone Cottages,2,3,,2,,,1 kindling,3 population are sheltered from mild weather (passive),2,,housing,,,,3,2,2
,,,,,,,,(kindling) 3 population are sheltered from cold (can survive cold weather) when used,,,,,,,,,
Wood Estates,2,2,3,,,,3 kindling,5 population are sheltered from mild weather (passive),2,,housing,,,,2,2,1
,,,,,,,,(kindlingkindlingkindling) 5 population are sheltered from cold (can survive cold weather) when used,,,,,,,,,
Stone Estates,1,2,,4,,educated,1 kindling,5 population are sheltered from mild weather (passive),3,,housing,,,,2,1,1
,,,,,,,,(kindling) 5 population are sheltered from cold (can survive cold weather) when used,,,,,,,,,
